Country, Provider, ARFCN, rxlev, BSIC, LAC, Cell ID, Evaluation, Latitude, Longitude, Encryption, DB Status, DB Provider, Neighbours
Germany, Vodafone, 115, -72, 7/7, 793, 12191, Ok, 0, 0, Not checked., Not looked up, None, 1 2 53 57 60 71 72 76 77 79 105 108 109 113 742 746
Germany, Vodafone, 109, -76, 7/4, 793, 21721, Ok, 0, 0, Not checked., Not looked up, None, 1 2 52 53 55 57 60 64 65 70 71 72 73 76 77 79 105 108 115 727 742 746
Germany, T-Mobile, 21, -80, 7/3, 21014, 6326, Ok, 0, 0, Not checked., Not looked up, None, 45 47 49 82 88 91 93 96 100 124
Germany, T-Mobile, 47, -80, 3/0, 21014, 40419, Ok, 0, 0, Not checked., Not looked up, None, 17 20 21 24 32 35 38 40 82 88 590
Germany, T-Mobile, 32, -84, 3/5, 21014, 19279, Ok, 0, 0, Not checked., Not looked up, None, 24 38 40 47 88 123 590
Germany, T-Mobile, 123, -79, 7/1, 21014, 52812, Ok, 0, 0, Not checked., Not looked up, None, 19 20 32 38 40 83 89 97 98 590
Germany, T-Mobile, 20, -80, 3/0, 21014, 57329, Ok, 0, 0, Not checked., Not looked up, None, 24 38 47 89 96 123 124 590 599
Germany, T-Mobile, 49, -87, 7/0, 21014, 6321, Ok, 0, 0, Not checked., Not looked up, None, 17 19 21 84 89 93 96 97 124
Germany, E-Plus, 986, -87, 3/7, 588, 55238, Ok, 0, 0, Not checked., Not looked up, None, 777 797 805 806 812 815 817 818 820 823 825 826 827 828 982 985 987 990 992 997
Germany, Vodafone, 72, -86, 3/1, 793, 19231, Ok, 0, 0, Not checked., Not looked up, None, 2 53 55 57 60 65 69 70 71 76 77 79 105 108 109 115 727 728 746
Germany, E-Plus, 985, -80, 3/7, 588, 52408, Ok, 0, 0, Not checked., Not looked up, None, 802 806 812 815 816 818 820 823 824 984 986 987 991 996
Germany, E-Plus, 987, -87, 3/6, 588, 52398, Ok, 0, 0, Not checked., Not looked up, None, 777 797 803 806 808 810 812 815 817 818 823 828 985 986 991 992 996
Germany, T-Mobile, 38, -81, 7/4, 21014, 29509, Ok, 0, 0, Not checked., Not looked up, None, 20 24 32 40 41 47 82 88 89 123 124 599
