Country, Provider, ARFCN, rxlev, BSIC, LAC, Cell ID, Evaluation, Latitude, Longitude, Encryption, DB Status, DB Provider, Neighbours
Germany, Vodafone, 58, -65, 3/6, 793, 14021, Ok, 0, 0, Not checked., Not looked up, None, 9 55 62 65 70 71 75 80 107 111 117
Germany, T-Mobile, 19, -64, 7/1, 21015, 14649, Ok, 0, 0, Not checked., Not looked up, None, 29 42 48 82 89 97 100
Germany, T-Mobile, 29, -72, 7/3, 21015, 39190, Ok, 0, 0, Not checked., Not looked up, None, 19 21 31 82 86 87 89 94 100
Germany, T-Mobile, 48, -71, 3/4, 21015, 26599, Ok, 0, 0, Not checked., Not looked up, None, 19 24 42 44 82 83 85 88 93 95 97
Germany, Vodafone, 70, -65, 7/7, 793, 14023, Ok, 0, 0, Not checked., Not looked up, None, 9 54 58 64 66 73 74 75 111
Germany, Vodafone, 75, -75, 3/0, 793, 6183, Ok, 0, 0, Not checked., Not looked up, None, 9 55 58 62 65 70 71 80 107 117
Germany, E-Plus, 979, -64, 3/3, 588, 50988, Ok, 0, 0, Not checked., Not looked up, None, 778 789 794 810 814 816 818 820 822 981 983 986 988
Germany, E-Plus, 981, -68, 3/5, 588, 50978, Ok, 0, 0, Not checked., Not looked up, None, 789 794 808 810 814 816 818 820 825 979 983 988 989 995 996
Germany, Vodafone, 9, -82, 7/3, 793, 14022, Ok, 0, 0, Not checked., Not looked up, None, 58 62 66 68 70 71 74 75 111 117
Germany, T-Mobile, 94, -86, 3/4, 21015, 39193, Ok, 0, 0, Not checked., Not looked up, None, 29 31 86 88 89 97
Germany, T-Mobile, 97, -78, 3/3, 21015, 26600, Ok, 0, 0, Not checked., Not looked up, None, 19 31 43 44 48 88 89 94 95
Germany, O2, 702, -67, 7/7, 50945, 59548, Ok, 0, 0, Not checked., Not looked up, None, 654 676 691 700 704 706 707 709 712 718 719 1002 1006 1016
Germany, E-Plus, 818, -80, 3/6, 588, 7148, Ok, 0, 0, Not checked., Not looked up, None, 778 789 794 810 814 816 820 822 979 981 983 986 988
Germany, T-Mobile, 100, -87, 7/4, 21015, 20074, Ok, 0, 0, Not checked., Not looked up, None, 19 21 29 31 34 82 86 87
Germany, O2, 1002, -72, 7/0, 50945, 1384, Ok, 0, 0, Not checked., Not looked up, None, 654 660 673 675 690 699 700 702 704 706 707 708 709 710 711 712 715 719 1012 1016
Germany, T-Mobile, 42, -95, 7/5, 21015, 5016, Ok, 0, 0, Not checked., Not looked up, None, 19 30 44 48 82
Germany, T-Mobile, 95, -93, 3/3, 21015, 53270, Ok, 0, 0, Not checked., Not looked up, None, 14 43 44 48 86 88 97
Germany, E-Plus, 820, -95, 3/6, 588, 7168, Ok, 0, 0, Not checked., Not looked up, None, 778 780 808 816 818 825 827 979 981 986 988 989 994 996
Germany, E-Plus, 983, -87, 3/1, 588, 573, Ok, 0, 0, Not checked., Not looked up, None, 778 787 788 806 810 814 816 818 822 979 981 986 989 991 993
Germany, E-Plus, 986, -82, 3/3, 588, 53053, Ok, 0, 0, Not checked., Not looked up, None, 778 787 814 818 820 825 827 979 983 988 989 993 994
Germany, T-Mobile, 82, -88, 7/0, 21015, 20080, Ok, 0, 0, Not checked., Not looked up, None, 19 29 42 85 87 93 100
Germany, Vodafone, 68, -88, 7/1, 793, 28851, Ok, 0, 0, Not checked., Not looked up, None, 9 51 53 59 62 65 66 67 69 71 74 78 117 120 121 725 726 736
