Country, Provider, ARFCN, rxlev, BSIC, LAC, Cell ID, Evaluation, Latitude, Longitude, Encryption, DB Status, DB Provider, Neighbours
Germany, T-Mobile, 17, -74, 3/5, 21014, 47561, Ok, 0, 0, Not checked., Not looked up, None, 21 31 36 43 49 84 93 96 97 98 100
Germany, Vodafone, 62, -78, 7/4, 793, 21791, Ok, 0, 0, Not checked., Not looked up, None, 1 3 6 55 60 65 70 75 107 111 113 115 119
Germany, T-Mobile, 100, -78, 7/5, 21014, 47560, Ok, 0, 0, Not checked., Not looked up, None, 17 18 21 29 31 36 97 98
Germany, Vodafone, 55, -77, 7/5, 793, 45351, Ok, 0, 0, Not checked., Not looked up, None, 1 3 6 57 60 62 65 70 73 77 107 115 121 729
Germany, Vodafone, 3, -85, 7/3, 793, 45352, Ok, 0, 0, Not checked., Not looked up, None, 1 6 55 62 65 70 75 111 113 119 725 729 731
Germany, T-Mobile, 49, -91, 7/0, 21014, 6321, Ok, 0, 0, Not checked., Not looked up, None, 17 19 21 84 89 93 96 97 124
Germany, Vodafone, 119, -87, 3/2, 793, 21781, Ok, 0, 0, Not checked., Not looked up, None, 1 3 6 62 65 66 75 79 107 108 111 113 725 731
Germany, T-Mobile, 21, -90, 3/0, 21014, 15616, Ok, 0, 0, Not checked., Not looked up, None, 17 18 19 38 43 83 97 100
Germany, O2, 1022, -91, 7/3, 50945, 39093, Ok, 0, 0, Not checked., Not looked up, None, 654 667 670 675 682 705 711 721 1003 1014 1016 1020
Germany, T-Mobile, 97, -90, 7/2, 21014, 47562, Ok, 0, 0, Not checked., Not looked up, None, 17 19 21 38 43 49 89 100 123 124
Germany, Vodafone, 10, -96, 3/4, 793, 9601, Ok, 0, 0, Not checked., Not looked up, None, 6 51 52 54 55 56 57 59 60 66 70 73 76 77 117 121
Germany, E-Plus, 990, -90, 3/7, 588, 55258, Ok, 0, 0, Not checked., Not looked up, None, 802 803 806 809 812 820 822 823 825 828 977 986 997
Germany, E-Plus, 812, -78, 3/6, 588, 7098, Ok, 0, 0, Not checked., Not looked up, None, 803 809 820 822 823 825 828 977 990
Germany, E-Plus, 992, -93, 3/3, 588, 46213, Ok, 0, 0, Not checked., Not looked up, None, 780 805 808 815 818 819 821 823 978 981 983 985 987 990 995 998
Germany, O2, 669, -90, 7/0, 50945, 9790, Ok, 0, 0, Not checked., Not looked up, None, 640 654 657 659 675 676 677 679 685 703 711 1021
Germany, O2, 711, -85, 7/3, 50945, 29789, Ok, 0, 0, Not checked., Not looked up, None, 644 654 659 667 669 675 685 1014 1021 1022
Germany, E-Plus, 828, -85, 3/2, 588, 55268, Ok, 0, 0, Not checked., Not looked up, None, 802 803 806 809 812 820 822 823 825 977 986 990 997
Germany, O2, 667, -82, 7/5, 50945, 9789, Ok, 0, 0, Not checked., Not looked up, None, 640 644 653 654 669 670 682 697 705 711 1003 1010 1011 1014 1020 1022
Germany, O2, 1021, -92, 7/3, 50945, 1389, Ok, 0, 0, Not checked., Not looked up, None, 640 654 657 659 669 675 676 677 679 685 686 703 711
Germany, E-Plus, 809, -88, 3/0, 588, 7088, Ok, 0, 0, Not checked., Not looked up, None, 803 806 812 819 822 823 824 825 828 977 982 985 990
Germany, E-Plus, 825, -96, 3/5, 588, 7108, Ok, 0, 0, Not checked., Not looked up, None, 802 803 809 812 814 820 822 823 828 977 986 990
Germany, E-Plus, 822, -99, 3/3, 588, 36648, Ok, 0, 0, Not checked., Not looked up, None, 802 809 812 819 820 825 828 985 990
